Img-Name,Img-Text,Img-Label,Img-Text-Label,Text-Label,Sentiment,Emotion,Sarcasm,Harmful-Score,Target,Doubtful,image_path,bully_label,sentiment_label,text_bully_label,text_only_label,sarcasm_binary,img_quality,label_check
4415.jpg,dafaq is wrong with robbert's dog,Nonbully,Bully,Bully,Negative,Disgust,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4415.jpg,0,0,1,1,1,ok,consistent
3543.jpg,RESTROOM Unisex Toilet,Nonbully,Nonbully,Nonbully,Neutral,Surprise,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3543.jpg,0,1,0,0,1,ok,consistent
4759.jpg,Inviligators checking before the exam @djwaleybabu,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4759.jpg,0,1,0,0,0,ok,consistent
5386.jpg,Biggest dream!,Nonbully,Nonbully,Nonbully,Neutral,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5386.jpg,0,1,0,0,0,ok,consistent
2906.jpg,Plumbers in INDIA plumbers in U.S.,Bully,Bully,Nonbully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2906.jpg,1,0,1,0,1,ok,check — bully but no keywords
1086.png,the face she makes when she dumps a load,Nonbully,Bully,Nonbully,Neutral,Surprise,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1086.png,0,1,1,0,0,ok,consistent
5412.jpg,THE OLDEST OLIVE  TREE IN THE WORLD 4000 YEARS OLD CRETE (GREECE),Nonbully,Nonbully,Nonbully,Neutral,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5412.jpg,0,1,0,0,0,ok,consistent
2657.jpg,Jalne walo ki to rooh bhi jalani h,Nonbully,Bully,Nonbully,Negative,Anticipation,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2657.jpg,0,0,1,0,1,ok,consistent
4057.jpg,"this is not a pic,this is feeling",Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4057.jpg,0,2,0,0,0,ok,consistent
4026.jpg,this ranom number texted me accidentally and i coudn't help myself lmao when you get the baby and settled call me i thought you had the baby? WHAT???,Nonbully,Nonbully,Nonbully,Neutral,Surprise,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4026.jpg,0,1,0,0,0,ok,consistent
1953.jpg,literally nobody:Backbenchers in every lecture:,Nonbully,Nonbully,Nonbully,Neutral,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/1953.jpg,0,1,0,0,0,ok,consistent
2824.jpg,"Asli Mard,Asli Dard",Bully,Bully,Bully,Negative,Disgust,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2824.jpg,1,0,1,1,1,ok,check — bully but no keywords
3210.jpg,"दही शक्कर की जगह छात्र ने पान मसाला खाकर दी परीक्षा, सभी विषयो में आये पुरे अंक…. Ajay devgan check kr rha tha kya exam.",Bully,Bully,Bully,Negative,Anticipation,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/3210.jpg,1,0,1,1,1,ok,check — bully but no keywords
1091.jpg,so i slept with 3 guys before i met you dafaq i was just 20 minutes late,Nonbully,Bully,Nonbully,Negative,Angry,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1091.jpg,0,0,1,0,0,ok,consistent
2063.jpg,"I don't need a job to live I don't live with my parents I have sex 3-4 times a day I have lots oif free time,I read a lot of books and do a lot of the gym Can't wait to get out of jail",Nonbully,Nonbully,Nonbully,Neutral,Sadness,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2063.jpg,0,1,0,0,1,ok,consistent
1501.jpg,VERY SAD TO HEAR ABOUT SUSHANT SINGH RAJPUT RIP,Nonbully,Nonbully,Nonbully,Negative,Sadness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/1501.jpg,0,0,0,0,0,ok,consistent
525.jpg,"STOP CHECKING THEIR ACCOUNT,YOU'RE TRIGGERING YOURSELF.",Nonbully,Nonbully,Nonbully,Neutral,Sadness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/525.jpg,0,1,0,0,0,ok,consistent
2156.jpg,Thoughtful person questions the Govt. Right wingers: Wouldn't make you Anti-National,Nonbully,Bully,Bully,Negative,Angry,No,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/2156.jpg,0,0,1,1,0,ok,consistent
2831.jpg,SOUUMMYYAA @SrcasmTripuraSe Teacher - Give me one pen: Frontbencher - Sir blue or red ? Backbencher - MAI JEB ME LEKE THORI GHUMTA HU ,Nonbully,Bully,Bully,Negative,Surprise,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2831.jpg,0,0,1,1,0,ok,consistent
4635.jpg,"""I have known Ishant for many years now,""Kohli said.""He started playing state cricket with me from his first season onwards.We have been room-mates for many years in state cricket,in Ranji Trophy cricket.When he got selected for India,he was fast asleep in the afternoon, and I have to kick him off the bed and say you have been selected.And he wouldn't believe me.That's how far we go back.""",Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4635.jpg,0,1,0,0,0,ok,consistent
2819.jpg,Mahi bhai voh na beardo pa badhiya upto 70% Off mil raha hai Mene leliya hai link bio mai hai aap bhi lelo,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2819.jpg,0,2,0,0,0,ok,consistent
2248.jpg,90's kids grew up from being confused between these two to being confused between them,Nonbully,Bully,Nonbully,Negative,Ridicule,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2248.jpg,0,0,1,0,0,ok,consistent
681.jpg,"thesoutherdaily.co.za pastor makes women suck his dick in church,says his sperms is holy milk",Nonbully,Bully,Bully,Negative,Ridicule,No,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/681.jpg,0,0,1,1,0,ok,consistent
2755.jpg,whatsapp knowledge ur relatives give woah.this is worhthless!,Nonbully,Bully,Bully,Negative,Anticipation,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2755.jpg,0,0,1,1,1,ok,consistent
2011.jpg,when my parents see me with a girl My parents be like:-MPL Ye koun?,Nonbully,Nonbully,Nonbully,Negative,Angry,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2011.jpg,0,0,0,0,1,ok,consistent
4783.jpg,"*JEE/NEET* *PUBG ban* Students: Marro hmko maaro,hmko zinda mat chordo saalo  SCOOPWHOOP.com",Nonbully,Nonbully,Bully,Negative,Angry,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4783.jpg,0,0,0,1,0,ok,consistent
3808.jpg,Relationship goals,Nonbully,Nonbully,Nonbully,Positive,Happiness,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3808.jpg,0,2,0,0,1,ok,consistent
4281.jpg,"someone aksed"" why elder sister is so special? he simply replied she is an updated version on mom",Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4281.jpg,0,2,0,0,0,ok,consistent
105.jpg,thanos:lmao noobs My husband and his indestructible head ohh really,Nonbully,Bully,Nonbully,Negative,Ridicule,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/105.jpg,0,0,1,0,0,ok,consistent
843.jpg,food delivery mom taking care of her kids while at work,Nonbully,Nonbully,Nonbully,Positive,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/843.jpg,0,2,0,0,0,ok,consistent
4915.jpg,Pimples Zero Blackheads? Zero seats for congress ZERO SCOOPWHOOP.com,Nonbully,Bully,Nonbully,Neutral,Other,No,Partially-Harmful,Organization,,/content/drive/MyDrive/Multimodal/bully_data/4915.jpg,0,1,1,0,0,ok,consistent
2342.jpg,girls- 5 problems one solution boys -1000 problems one solution,Nonbully,Bully,Nonbully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2342.jpg,0,0,1,0,1,ok,consistent
83.jpg,sushant had no Godfather hence he was never acknowledged by the film industry -Kangana Ranaut Indians* Humare mann mein tumhare liye izzat aur badh gyi,Nonbully,Nonbully,Nonbully,Neutral,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/83.jpg,0,1,0,0,0,ok,check — has keywords but nonbully
4334.jpg,SBI card after 1 year,Nonbully,Bully,Nonbully,Neutral,Ridicule,Yes,Partially-Harmful,Organization,,/content/drive/MyDrive/Multimodal/bully_data/4334.jpg,0,1,1,0,1,ok,consistent
5717.jpg,SwatKat @swatic12 me 50 times in a day tyring  not to touch my face Aman Same situation but problem isn't with face,Bully,Bully,Bully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/5717.jpg,1,0,1,1,1,ok,check — bully but no keywords
5789.jpg,No! Nasa didn't click this picture.. A twitter user from Surat loast night at 9pm captured this beautiful picture eith his Drone This looks beautiful,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5789.jpg,0,2,0,0,0,ok,consistent
2098.jpg,When cops stop your car at the signal That one Marathi friend in the car,Nonbully,Bully,Nonbully,Negative,Sadness,Yes,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/2098.jpg,0,0,1,0,1,ok,consistent
5970.jpg,Godzilla after fighting a bunch of monsters King Kong after being a simp,Nonbully,Bully,Bully,Neutral,Ridicule,Yes,Harmless,Individual,,/content/drive/MyDrive/Multimodal/bully_data/5970.jpg,0,1,1,1,1,ok,consistent
3179.jpg,after workout after eating one slice of,Nonbully,Nonbully,Nonbully,Neutral,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3179.jpg,0,1,0,0,0,ok,consistent
2002.jpg,other girls vs MyGF,Bully,Bully,Nonbully,Negative,Disgust,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2002.jpg,1,0,1,0,0,ok,check — bully but no keywords
1317.jpg,Ice cream kitne ki hai?. Konsi?... 10/ruply wali Maro BC ko,Nonbully,Bully,Nonbully,Neutral,Angry,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1317.jpg,0,1,1,0,0,ok,consistent
1103.jpg,"""I Asked Virat Kohli To Marry Me And He Gave Me His Bat, I'm Using Kohli's Bat Now
Kitna ganda aadmi hun mai yaar",Nonbully,Bully,Bully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1103.jpg,0,0,1,1,1,ok,consistent
1316.png,oh you're offended i'm sure i have some thicker skin for you in the back,Nonbully,Bully,Bully,Negative,Other,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1316.png,0,0,1,1,0,ok,consistent
4449.jpg,people with beards are just people without beards with beards,Nonbully,Nonbully,Nonbully,Neutral,Ridicule,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4449.jpg,0,1,0,0,0,ok,consistent
3523.jpg,Some Girl can Sleep All Damn Day And Still Be Tired,Nonbully,Nonbully,Nonbully,Neutral,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3523.jpg,0,1,0,0,0,ok,consistent
768.png,remember when you needed to bang your tv to get it working? i tired that with my dishwasher and now she's pregnant,Nonbully,Bully,Bully,Negative,Disgust,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/768.png,0,0,1,1,0,ok,consistent
5655.jpg,All boys are not same,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5655.jpg,0,2,0,0,0,ok,consistent
76.png,closing time one last call for green cards you dont have to go home but you cant stay here,Nonbully,Bully,Nonbully,Negative,Angry,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/76.png,0,0,1,0,1,ok,consistent
2195.jpg,its not stupid if it works,Nonbully,Nonbully,Nonbully,Positive,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2195.jpg,0,2,0,0,0,ok,check — has keywords but nonbully
3862.jpg,"BREAKING NEWS...मेमेस से परेशान तैमूर, कहने लगे पापा से करूँगा शिकायत . जनता बोली ""कोनसे पापा से करोगे"" तैमूर CRIES IN A CORNOR",Bully,Bully,Bully,Negative,Other,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/3862.jpg,1,0,1,1,1,ok,check — bully but no keywords
5016.jpg,when bhabhi calls you to change the cylinder and you really change the cylinder...,Nonbully,Bully,Nonbully,Neutral,Other,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/5016.jpg,0,1,1,0,0,ok,consistent
4514.jpg,esi diwali kon wish karta he,Nonbully,Nonbully,Nonbully,Negative,Ridicule,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4514.jpg,0,0,0,0,0,ok,consistent
1253.jpg,Maine aapko meme de diya hai,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/1253.jpg,0,2,0,0,0,ok,consistent
2317.jpg,one day you and me,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2317.jpg,0,2,0,0,0,ok,consistent
2344.jpg,what girl's think boy's notice in party's what we boy's ectually notice in party's,Nonbully,Bully,Nonbully,Neutral,Surprise,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/2344.jpg,0,1,1,0,1,ok,consistent
3052.jpg,"Me Tumse dugna lagaan lega Ghanta lega,Teri to hamare londe ne hi leli",Bully,Bully,Bully,Negative,Angry,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/3052.jpg,1,0,1,1,1,ok,check — bully but no keywords
4408.jpg,censor board ki wajah se hum kabhi kohli ki BIOPIC nahi dekh paayenge BC,Nonbully,Bully,Bully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4408.jpg,0,0,1,1,1,ok,consistent
4930.jpg,naman upadhyay theextraclasses original old song neha kakkar's remix,Nonbully,Bully,Nonbully,Negative,Surprise,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4930.jpg,0,0,1,0,1,ok,consistent
5907.jpg,Saree makes women look beautiful Nandini nakes the saree look beautiful,Nonbully,Nonbully,Nonbully,Neutral,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5907.jpg,0,1,0,0,0,ok,consistent
1772.jpg,MAA WOH DEKHO AIRTEL WALI BANDI JIO KA SIM PHENK KE MAAR SAALI KO,Nonbully,Bully,Bully,Negative,Disgust,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1772.jpg,0,0,1,1,0,ok,consistent
4090.jpg,After seeing aishwarya rai test positive for corona virus Selmon bhoi*,Nonbully,Bully,Bully,Negative,Sadness,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4090.jpg,0,0,1,1,0,ok,consistent
4974.jpg,"chinata na karo,didi pohoch gayi hai",Nonbully,Bully,Nonbully,Negative,Trust,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4974.jpg,0,0,1,0,1,ok,consistent
1208.png,rev up those gas chambers,Nonbully,Bully,Nonbully,Neutral,Fear,Yes,Partially-Harmful,Society,,/content/drive/MyDrive/Multimodal/bully_data/1208.png,0,1,1,0,1,ok,consistent
4298.jpg,"हेलमेट लगाना ही काफी नहीं ! पुरे होशोहवास में गाड़ी चलना जरुरी है, वरना कोहली की तरह आप भी जीरो पर आउट हो सकते है. #INDvsEND #Viratkohli..kuldeep Singh KD.. Rohit sharma bro….Plese come with ur original Id….",Nonbully,Bully,Bully,Negative,Angry,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4298.jpg,0,0,1,1,1,ok,consistent
2768.jpg,Girls:Say HI and i will Post something about you.*Memers:Ae Madam Ye kya Chodd Failayela hai idhar,Nonbully,Bully,Bully,Negative,Disgust,Yes,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/2768.jpg,0,0,1,1,1,ok,consistent
3671.jpg,"AS EXPECTED  TIMESOFINDIA.INDIATIMES.COM no surplus vaccine doses to send to India right now, says UK UK Nwes: In reference to India's devastating second wave of the pande…",Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3671.jpg,0,1,0,0,0,ok,consistent
5343.jpg,"WOH DEKH TERI BHABHI AH RAHI HAI ""DILO KA SHOOTER HAI MERA SCOOTER."" BHAAG BC!!!",Bully,Bully,Nonbully,Negative,Angry,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/5343.jpg,1,0,1,0,0,ok,check — bully but no keywords
3766.jpg,BTS ARMY BEST?chup bay deshdrohi,Nonbully,Bully,Bully,Negative,Angry,No,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/3766.jpg,0,0,1,1,0,ok,consistent
1041.jpg,"do you have someone,with whom you complete 5 years of friendship!",Nonbully,Nonbully,Nonbully,Positive,Anticipation,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/1041.jpg,0,2,0,0,0,ok,consistent
2269.jpg,can't believe there was a time my brain could understan this,Nonbully,Nonbully,Nonbully,Neutral,Surprise,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2269.jpg,0,1,0,0,0,ok,consistent
1799.jpg,"Cricket Can Be Cruel Sometimes Hetmyer & Pant Gave It Their All, But Fell Short Of 1 Run",Nonbully,Nonbully,Nonbully,Negative,Sadness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/1799.jpg,0,0,0,0,0,ok,consistent
4161.jpg,Watching Raina in action after 2 years Raina* fans* you waited.of course.,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4161.jpg,0,2,0,0,0,ok,consistent
3316.jpg,in search of gold we lost a daimond,Nonbully,Bully,Nonbully,Negative,Ridicule,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/3316.jpg,0,0,1,0,1,ok,consistent
4066.jpg,when you are getting scholarship & N.A.S.A visit by joining vendantu,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4066.jpg,0,1,0,0,0,ok,consistent
2713.jpg,sundar toh itna hu ki maa bhi bole beta fuck me,Nonbully,Nonbully,Bully,Negative,Disgust,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2713.jpg,0,0,0,1,0,ok,consistent
72.png,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock,Nonbully,Bully,Nonbully,Negative,Angry,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/72.png,0,0,1,0,1,ok,consistent
3269.jpg,in search of gold we lost the diamond,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3269.jpg,0,1,0,0,0,ok,consistent
3557.jpg,SHOCKING: AAJ TAK'S ROHIT SARDANA PASSED AWAY THIS MORNING DUE TO HEART ATTACK,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3557.jpg,0,1,0,0,0,ok,consistent
922.png,how you guys think you looks like but when pados wale pandit jee sees you,Nonbully,Bully,Nonbully,Negative,Angry,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/922.png,0,0,1,0,0,ok,consistent
2191.jpg,stop listening to his songs all day he's just a singer! the singer:,Nonbully,Nonbully,Nonbully,Positive,Happiness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/2191.jpg,0,2,0,0,0,ok,consistent
4519.jpg,"no, this isn't photoschop this is just a floor with modern 3d tiles",Nonbully,Nonbully,Nonbully,Neutral,Surprise,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4519.jpg,0,1,0,0,0,ok,consistent
4990.jpg,Double tap,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4990.jpg,0,1,0,0,0,ok,consistent
1112.png,it says right here we can bang goats,Nonbully,Bully,Nonbully,Neutral,Other,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1112.png,0,1,1,0,1,ok,consistent
5323.jpg,AFTER PLAYING FAU-G MY RIGHT THUMB,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5323.jpg,0,1,0,0,0,ok,consistent
965.jpg,Boys going to meet crush Boys in sister's wedding,Nonbully,Bully,Nonbully,Neutral,Ridicule,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/965.jpg,0,1,1,0,0,ok,consistent
5780.jpg,Imagine your wife sitting on bed like this Hafijul Ali Laskar Then 2 mins silence for the bed,Bully,Bully,Bully,Negative,Disgust,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5780.jpg,1,0,1,1,1,ok,check — bully but no keywords
147.jpg,bandi ne kaha'nobody is at  home'  uske ghar jaake dekha toh sach me tala laga ,Nonbully,Bully,Nonbully,Neutral,Sadness,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/147.jpg,0,1,1,0,0,ok,consistent
5093.jpg,Chakka hu VS Mard hu  vote You and 1k others,Nonbully,Bully,Nonbully,Negative,Ridicule,No,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/5093.jpg,0,0,1,0,0,ok,consistent
847.jpg,raymond_fischerr DM NOW,Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/847.jpg,0,1,0,0,0,ok,consistent
5060.jpg,duniya mai kitne madarchod hai,Nonbully,Bully,Nonbully,Negative,Ridicule,No,Partially-Harmful,Organization,,/content/drive/MyDrive/Multimodal/bully_data/5060.jpg,0,0,1,0,0,ok,consistent
5776.jpg,"Doctor : It looks like you're pregnant Patient : Wtf, but I'm male Doctor : It LOOKS like you're",Nonbully,Bully,Nonbully,Negative,Ridicule,Yes,Partially-Harmful,Community,,/content/drive/MyDrive/Multimodal/bully_data/5776.jpg,0,0,1,0,1,ok,consistent
3213.jpg,good morning fends...,Nonbully,Nonbully,Nonbully,Neutral,Disgust,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3213.jpg,0,1,0,0,1,ok,consistent
4839.jpg,dad happy that i'm attending online classes daily me Playing PUBG  SCOOPWHOOP.com,Nonbully,Nonbully,Nonbully,Neutral,Fear,Yes,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4839.jpg,0,1,0,0,1,ok,consistent
3119.jpg,"arey beta,kaha tak padhe ho?B.A.uffo,2 akshar padhe wo bhi ulte.Mujhe toh A-Z tak aata hai.",Nonbully,Nonbully,Nonbully,Neutral,Other,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/3119.jpg,0,1,0,0,0,ok,consistent
5792.jpg,"Bas bharosa mat tootne dena, baki har baat hum hans kar seh lenge",Nonbully,Nonbully,Nonbully,Positive,Trust,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/5792.jpg,0,2,0,0,0,ok,consistent
1438.png,that's gayer than cum on a mustache,Nonbully,Bully,Nonbully,Neutral,Sadness,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/1438.png,0,1,1,0,1,ok,consistent
4833.jpg,*sends a text to your crush* they start talking about their crush SCOOPWHOOP.com,Nonbully,Nonbully,Nonbully,Negative,Sadness,No,Harmless,,,/content/drive/MyDrive/Multimodal/bully_data/4833.jpg,0,0,0,0,0,ok,consistent
4084.jpg,last option left to open the suez canal,Nonbully,Bully,Nonbully,Neutral,Surprise,No,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4084.jpg,0,1,1,0,0,ok,consistent
3488.jpg,Paisa hi paisa hoga,Bully,Bully,Nonbully,Negative,Disgust,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/3488.jpg,1,0,1,0,1,ok,check — bully but no keywords
4816.jpg,lockdown extend krdo na Modiji Kar dunga chhotu na ipl hoga na hi hmm harenge,Bully,Bully,Bully,Negative,Anticipation,Yes,Partially-Harmful,Individual,,/content/drive/MyDrive/Multimodal/bully_data/4816.jpg,1,0,1,1,1,ok,check — bully but no keywords
